0.37,0.23,0.23,0.18,0.25,,0.31
0.37,0.23,0.23,0.18,0.24,,0.305
0.37,0.24,0.23,0.17,0.25,,0.31
0.37,0.24,0.23,0.17,0.25,,0.31
0.37,0.23,0.23,0.18,0.24,,0.305
0.37,0.24,0.23,0.17,0.25,,0.31
0.37,0.23,0.23,0.18,0.24,,0.305
0.37,0.24,0.23,0.17,0.25,,0.31
0.37,0.23,0.24,0.17,0.25,,0.31
0.38,0.23,0.23,0.17,0.26,,0.32
0.37,0.23,0.23,0.17,0.25,,0.31
0.38,0.23,0.23,0.17,0.25,,0.315
0.37,0.23,0.23,0.18,0.24,,0.305
0.37,0.23,0.23,0.17,0.25,,0.31
0.38,0.23,0.23,0.17,0.25,,0.315
0.38,0.23,0.23,0.17,0.25,,0.315
0.37,0.24,0.23,0.17,0.25,,0.31
0.38,0.23,0.23,0.17,0.25,,0.315
0.38,0.23,0.23,0.17,0.25,,0.315
0.37,0.23,0.23,0.17,0.25,,0.31
0.37,0.24,0.23,0.17,0.24,,0.305
0.38,0.23,0.23,0.17,0.25,,0.315
0.38,0.23,0.23,0.17,0.25,,0.315
0.37,0.24,0.23,0.17,0.25,,0.31
0.37,0.23,0.23,0.17,0.24,,0.305
0.38,0.23,0.23,0.17,0.25,,0.315
0.37,0.23,0.23,0.17,0.24,,0.305
0.37,0.23,0.23,0.17,0.25,,0.31
0.37,0.23,0.23,0.17,0.25,,0.31
0.37,0.24,0.23,0.17,0.25,,0.31
0.37,0.23,0.23,0.17,0.24,,0.305
0.37,0.23,0.23,0.17,0.25,,0.31
0.37,0.24,0.23,0.17,0.25,,0.31
0.37,0.23,0.23,0.18,0.25,,0.31
0.38,0.23,0.23,0.17,0.25,,0.315
0.38,0.24,0.23,0.17,0.25,,0.315
0.37,0.24,0.23,0.17,0.24,,0.305
0.37,0.23,0.23,0.17,0.24,,0.305
0.37,0.23,0.23,0.17,0.25,,0.31
0.37,0.24,0.23,0.17,0.24,,0.305
0.37,0.23,0.24,0.17,0.24,,0.305
0.38,0.23,0.23,0.17,0.25,,0.315
0.37,0.23,0.23,0.17,0.24,,0.305
0.37,0.23,0.23,0.17,0.25,,0.31
0.38,0.23,0.23,0.17,0.25,,0.315
0.37,0.23,0.23,0.18,0.24,,0.305
0.37,0.23,0.23,0.17,0.25,,0.31
0.37,0.24,0.23,0.17,0.25,,0.31
0.37,0.23,0.23,0.17,0.25,,0.31
0.38,0.23,0.23,0.17,0.25,,0.315
0.37,0.24,0.23,0.17,0.24,,0.305
0.37,0.23,0.23,0.18,0.26,,0.315
0.37,0.23,0.23,0.17,0.25,,0.31
0.38,0.23,0.23,0.17,0.25,,0.315
0.37,0.23,0.23,0.17,0.24,,0.305
0.37,0.23,0.23,0.17,0.25,,0.31
0.38,0.23,0.23,0.17,0.25,,0.315
0.37,0.23,0.23,0.17,0.25,,0.31
0.38,0.23,0.23,0.17,0.25,,0.315
0.37,0.23,0.23,0.18,0.24,,0.305
0.37,0.23,0.23,0.17,0.25,,0.31
0.38,0.23,0.23,0.17,0.25,,0.315
0.37,0.23,0.23,0.17,0.24,,0.305
0.37,0.23,0.23,0.17,0.25,,0.31
0.37,0.23,0.23,0.17,0.25,,0.31
0.37,0.24,0.23,0.17,0.25,,0.31
0.37,0.23,0.23,0.17,0.24,,0.305
0.38,0.23,0.23,0.17,0.25,,0.315
0.37,0.23,0.23,0.18,0.24,,0.305
0.37,0.23,0.23,0.17,0.24,,0.305
0.37,0.23,0.23,0.18,0.25,,0.31
0.37,0.24,0.23,0.17,0.24,,0.305
0.37,0.23,0.23,0.17,0.24,,0.305
0.38,0.23,0.23,0.17,0.25,,0.315
0.37,0.24,0.23,0.17,0.24,,0.305
0.38,0.23,0.23,0.17,0.25,,0.315
